delta_phi_rad,normalized_susceptibility_empirical
-1.5707963267948966,7.589678603432414e-17
-1.5603243512829306,0.01297938180346197
-1.5498523757709646,0.02595569054938532
-1.5393804002589986,0.03892585514530351
-1.5289084247470326,0.05188680842707135
-1.5184364492350666,0.06483548911847244
-1.5079644737231006,0.07776884378536653
-1.4974924982111348,0.09068382878256576
-1.4870205226991688,0.10357741219163721
-1.4765485471872029,0.11644657574783163
-1.4660765716752369,0.12928831675435876
-1.4556045961632709,0.14209964998223423
-1.4451326206513049,0.1548776095539394
-1.4346606451393389,0.16761925080915255
-1.424188669627373,0.18032165215082677
-1.413716694115407,0.19298191686990754
-1.403244718603441,0.2055971749470076
-1.392772743091475,0.21816458482937431
-1.382300767579509,0.2306813351815138
-1.371828792067543,0.24314464660785848
-1.361356816555577,0.2555517733458939
-1.350884841043611,0.26790000492818894
-1.3404128655316452,0.2801866678118029
-1.3299408900196792,0.2924091269735798
-1.3194689145077132,0.3045647874698635
-1.3089969389957472,0.31665109595921564
-1.2985249634837812,0.32866554218674265
-1.2880529879718152,0.34060566042868196
-1.2775810124598492,0.35246903089593584
-1.2671090369478832,0.36425328109527927
-1.2566370614359172,0.37595608714701234
-1.2461650859239513,0.38757517505786854
-1.2356931104119853,0.3991083219480337
-1.2252211349000193,0.4105533572311786
-1.2147491593880533,0.42190816374644907
-1.2042771838760875,0.4331706788414096
-1.1938052083641213,0.4443388954049807
-1.1833332328521555,0.45541086284945953
-1.1728612573401895,0.46638468804076866
-1.1623892818282235,0.4772585361761177
-1.1519173063162575,0.4880306316083255
-1.1414453308042916,0.49869925861609443
-1.1309733552923256,0.5092627621195868
-1.1205013797803596,0.5197195483407014
-1.1100294042683936,0.5300680854075085
-1.0995574287564276,0.5403069039023496
-1.0890854532444616,0.550434597353171
-1.0786134777324956,0.5604498226677062
-1.0681415022205298,0.5703513005101885
-1.0576695267085636,0.580137815620322
-1.0471975511965979,0.5898082170743011
-1.0367255756846316,0.5993614184877266
-1.0262536001726659,0.6087963981603128
-1.0157816246606997,0.6181121991623564
-1.0053096491487339,0.6273079293629679
-0.9948376736367679,0.6363827614001552
-0.9843656981248019,0.6453359325928713
-0.9738937226128359,0.6541667447952272
-0.9634217471008699,0.6628745641931019
-0.9529497715889039,0.671458821043454
-0.9424777960769379,0.6799190093566859
-0.932005820564972,0.6882546865224736
-0.9215338450530061,0.6964654728795239
-0.9110618695410401,0.7045510512297818
-0.9005898940290741,0.7125111662976592
-0.8901179185171081,0.7203456241349144
-0.8796459430051421,0.7280542914718611
-0.8691739674931761,0.7356370950156395
-0.8587019919812102,0.7430940206963346
-0.8482300164692442,0.7504251128617754
-0.8377580409572782,0.7576304734218976
-0.8272860654453122,0.7647102609436084
-0.8168140899333463,0.7716646896971288
-0.8063421144213803,0.7784940286548454
-0.7958701389094143,0.7851986004437472
-0.7853981633974484,0.7917787802525632
-0.7749261878854824,0.7982349946947692
-0.7644542123735164,0.8045677206286638
-0.7539822368615504,0.8107774839357683
-0.7435102613495844,0.8168648582588321
-0.7330382858376184,0.8228304637007761
-0.7225663103256524,0.8286749654859324
-0.7120943348136866,0.8343990725849874
-0.7016223593017206,0.8400035363050609
-0.6911503837897546,0.8454891488463897
-0.6806784082777886,0.8508567418271202
-0.6702064327658226,0.8561071847777376
-0.6597344572538566,0.8612413836066986
-0.6492624817418906,0.8662602790388482
-0.6387905062299247,0.8711648450282428
-0.6283185307179587,0.8759560871470123
-0.6178465552059927,0.8806350409519257
-0.6073745796940268,0.8852027703303408
-0.5969026041820608,0.8896603658272417
-0.5864306286700948,0.8940089429550804
-0.5759586531581288,0.8982496404881609
-0.5654866776461629,0.9023836187433126
-0.5550147021341969,0.9064120578486187
-0.5445427266222309,0.910336156001967
-0.5340707511102649,0.9141571277212112
-0.5235987755982989,0.9178762020877267
-0.5131268000863329,0.9214946209851587
-0.5026548245743669,0.9250136373351587
-0.49218284906240095,0.9284345133319111
-0.48171087355043496,0.9317585186772498
-0.47123889803846897,0.9349869288181628
-0.460766922526503,0.9381210231884816
-0.4502949470145372,0.9411620834565427
-0.4398229715025712,0.9441113917806087
-0.4293509959906052,0.9469702290738163
-0.41887902047863923,0.9497398732804242
-0.40840704496667324,0.9524215976651041
-0.39793506945470725,0.9550166691170164
-0.38746309394274125,0.9575263464703928
-0.37699111843077526,0.9599518788433279
-0.36651914291880927,0.9622945039964682
-0.3560471674068433,0.9645554467132591
-0.3455751918948773,0.9667359172033971
-0.3351032163829113,0.9688371095310994
-0.3246312408709453,0.9708602000697893
-0.3141592653589793,0.9728063459847592
-0.30368728984701354,0.974676683745347
-0.29321531433504755,0.9764723276681362
-0.28274333882308156,0.9781943684926485
-0.27227136331111557,0.979843871990976
-0.2617993877991496,0.9814218776127551
-0.2513274122871836,0.9829293971668547
-0.2408554367752176,0.9843674135411101
