phase_bin,delta_phi_rad,normalized_order,n_trials,ci_low,ci_high
0,-1.2711036421001045,0.9391638418003593,10,0.873647903683155,1.006324239688298
1,-0.6717566113308079,0.5885538602095054,7,0.458651206774535,0.7228559516909496
2,0.1608973033684348,-0.08748491143974985,5,-0.3178726284354248,0.14756657435247805
3,0.6442280553040077,-0.5482835981139665,12,-0.6571394143838836,-0.4318730742263837
4,1.3792998994103158,-1.0837673293743209,6,-1.2600823763294804,-0.9440300365338194
