delta_omega_plot,phase_rate_mean,phase_rate_sd,n,phase_rate_sem
-0.5,-0.49823881374579454,0.020994077840344422,14,0.005610903316416559
-0.3,-0.2881207347733044,0.02988978655256675,14,0.007988381474536272
-0.1999999999999999,-0.19514620978711913,0.022999539522460623,12,0.006639395167265039
-0.0,-0.009914629464188914,0.07940209313594855,52,0.011011089160801145
0.1999999999999999,0.20587657896856046,0.02784800198358489,12,0.008039025720807984
0.3,0.30244936008843115,0.02458612119544611,14,0.006570917284504307
0.5,0.4982431400922073,0.03533716147608996,12,0.010200959845308905
