delta_phi_rad,normalized_order_empirical,ci_low,ci_high
-1.5707963267948966,1.018604056756242,0.9363726320909801,1.112955177946362
-1.5603243512829306,1.0185399488780624,0.9363422747593201,1.112839361995214
-1.5498523757709646,1.0183476404225058,0.9362511853841224,1.1125143009849365
-1.5393804002589986,1.0180271769168137,0.9360993118470783,1.11197312930181
-1.5289084247470326,1.0175786342073756,0.9358865673587957,1.1112158983236728
-1.5184364492350666,1.0170021184112423,0.9356128305704026,1.1102430169884516
-1.5079644737231006,1.016297765848307,0.935322630770876,1.1090550104449437
-1.4974924982111348,1.0154657429542147,0.9350134327592453,1.1075576148855792
-1.4870205226991688,1.014506246174089,0.9346961294116546,1.10582742711425
-1.4765485471872029,1.0134195018371623,0.9344168477677788,1.1039584801028337
-1.4660765716752369,1.0122057660124384,0.9341028427372907,1.1019744172172259
-1.4556045961632709,1.0108653243455104,0.933567501017488,1.0999088063035254
-1.4451326206513049,1.0093984918766936,0.9329263702766555,1.0972048243069417
-1.4346606451393389,1.0078056128406359,0.9322320638163727,1.0944824486079787
-1.424188669627373,1.006087060447596,0.9316151242367455,1.0917050228181817
-1.413716694115407,1.004243236646587,0.9309041986672137,1.088712525297973
-1.403244718603441,1.00227457187061,0.9300370642159687,1.0851979762320252
-1.392772743091475,1.0001815247642094,0.9290981652817173,1.0816664855414488
-1.382300767579509,0.9979645818936047,0.928258607071435,1.0778334160529945
-1.371828792067543,0.9956242574396651,0.9274113832204167,1.0737067219228371
-1.361356816555577,0.9931610928740121,0.9264354177261165,1.0691760873289884
-1.350884841043611,0.9905756566185507,0.9254029158657474,1.064914561704619
-1.3404128655316452,0.9878685436887407,0.9240428387772819,1.0605503421390232
-1.3299408900196792,0.9850403753209388,0.9228905374602893,1.0562323647032057
-1.3194689145077132,0.9820917985841613,0.9219577752477037,1.0515946119246393
-1.3089969389957472,0.9790234859766153,0.920688249393628,1.0464475099620376
-1.2985249634837812,0.9758361350073803,0.9193588170867167,1.041297125977991
-1.2880529879718152,0.9725304677636213,0.9179712972003123,1.0360385669362209
-1.2775810124598492,0.9691072304637343,0.916418612021534,1.0305105232311005
-1.2671090369478832,0.9655671929968341,0.9147668583933021,1.024748414926761
-1.2566370614359172,0.9619111484490116,0.9131668448399457,1.01857932525446
-1.2461650859239513,0.9581399126167934,0.911267812947313,1.0123997290757203
-1.2356931104119853,0.9542543235082546,0.9093744400458539,1.0061594725719207
-1.2252211349000193,0.9502552408322407,0.9077219830319025,0.9997351975998884
-1.2147491593880533,0.9461435454761701,0.9061544077439526,0.9929834984044322
-1.2042771838760875,0.9419201389728964,0.9042730452884916,0.9861288331647503
-1.1938052083641213,0.9375859429571177,0.9022361949585387,0.9795482136809522
-1.1833332328521555,0.933141898611835,0.9002024312975547,0.9726414435615587
-1.1728612573401895,0.9285889661053633,0.8977925575168777,0.9659447458409692
-1.1623892818282235,0.9239281240194146,0.895434725520898,0.9589005679844878
-1.1519173063162575,0.9191603687687712,0.8932503299939408,0.9518992679902727
-1.1414453308042916,0.9142867140130858,0.8906118857341799,0.9446392766663038
-1.1309733552923256,0.9093081900613397,0.887676570615294,0.9374222615351465
-1.1205013797803596,0.904225843269506,0.8846973269376668,0.9301150376365183
-1.1100294042683936,0.8990407354319665,0.8817790585920009,0.9223134684689558
-1.0995574287564276,0.8937539431672341,0.8782897840159752,0.9150933570398495
-1.0890854532444616,0.8883665572985433,0.874706980421003,0.9074182192615567
-1.0786134777324956,0.882879682229866,0.8708072557565246,0.9000475312218824
-1.0681415022205298,0.8772944353179257,0.8656570731279724,0.8927545196238332
-1.0576695267085636,0.8716119462407718,0.8598735557277271,0.885216010249651
-1.0471975511965979,0.8658333563634923,0.853889911346427,0.8783500550087974
-1.0367255756846316,0.8599598181016322,0.8468745226173723,0.8720347329663499
-1.0262536001726659,0.853992494282898,0.8393657040668109,0.8663799488901802
-1.0157816246606997,0.8479325575077156,0.8315159881089631,0.8613845247605088
-1.0053096491487339,0.8417811895092283,0.823113795227176,0.8566941949701037
-0.9948376736367679,0.8355395805132968,0.8144914242089358,0.852253070736554
-0.9843656981248019,0.8292089285990856,0.8059268379831274,0.8481971822672083
-0.9738937226128359,0.8227904390608025,0.7968880980643821,0.8437896095435062
-0.9634217471008699,0.8162853237711633,0.7878429994048645,0.8395264169332811
-0.9529497715889039,0.8096948005471484,0.7785721828447656,0.8349107530137142
-0.9424777960769379,0.8030200925186168,0.7698132267783662,0.8304714150688639
-0.932005820564972,0.7962624275003373,0.760593743548102,0.825840921579254
-0.9215338450530061,0.7894230373679926,0.751395503098447,0.8211579405632605
-0.9110618695410401,0.7825031574387087,0.7421018038761137,0.8164892037712123
-0.9005898940290741,0.7755040258566552,0.7329930193581616,0.8119699139102066
-0.8901179185171081,0.7684268829842561,0.723653378578354,0.8071681574773003
-0.8796459430051421,0.7612729707995451,0.7142208333692367,0.8023730958902183
-0.8691739674931761,0.7540435323001925,0.7046747407182355,0.7971530185393997
-0.8587019919812102,0.7467398109147211,0.6951090869954474,0.7924394808696132
-0.8482300164692442,0.7393630499214235,0.6858621431020497,0.7871463955654363
-0.8377580409572782,0.7319144918754845,0.6761584667515503,0.7818924313685128
-0.8272860654453122,0.7243953780447997,0.6668427527569584,0.7762639525092595
-0.8168140899333463,0.7168069478549755,0.6568192297620613,0.771022855928315
-0.8063421144213803,0.7091504383439855,0.6467690401239132,0.7655925648946463
-0.7958701389094143,0.7014270836269476,0.6371446053281717,0.7600343890835404
-0.7853981633974484,0.6936381143714719,0.6274739288618008,0.7541896064471714
-0.7749261878854824,0.6857847572840241,0.6173040863030393,0.7482039414460853
-0.7644542123735164,0.6778682346077334,0.6074149771085816,0.7420345020207098
-0.7539822368615504,0.669889763632063,0.597164757242674,0.7358034459540791
-0.7435102613495844,0.6618505562147481,0.5875282782446679,0.7293112737646257
-0.7330382858376184,0.6537518183163943,0.5777385408991624,0.7226678152562444
-0.7225663103256524,0.6455947495481151,0.568126287472264,0.7160074363721313
-0.7120943348136866,0.6373805427325758,0.5586489060856553,0.709221333337527
-0.7016223593017206,0.6291103834787917,0.5491293229633268,0.7021482386986025
-0.6911503837897546,0.6207854497710219,0.5395287781754983,0.6951442729922013
-0.6806784082777886,0.6124069115720786,0.5294906508609029,0.6878859162409757
-0.6702064327658226,0.60397593044136,0.5201628775806336,0.6806966895793445
-0.6597344572538566,0.5954936591678985,0.5107371427988391,0.6732142594328587
-0.6492624817418906,0.5869612414187031,0.5010248190755726,0.665602522659718
-0.6387905062299247,0.5783798114026536,0.49133483613351736,0.6578673261754406
-0.6283185307179587,0.5697504935501931,0.48168562563273715,0.6500330825618301
-0.6178465552059927,0.5610744022090488,0.47207926940065154,0.6420354209977388
-0.6073745796940268,0.5523526413561899,0.46251775014404733,0.6340209131793599
-0.5969026041820608,0.5435863043262191,0.4528998892289996,0.6257654776176673
-0.5864306286700948,0.5347764735563783,0.4435366510793738,0.6173851272757942
-0.5759586531581288,0.525924220348325,0.434120531397588,0.608897779503227
-0.5654866776461629,0.51703060464683,0.42477149554313565,0.6003056744653813
-0.5550147021341969,0.5080966748355151,0.4156778597519385,0.5915319389562989
-0.5445427266222309,0.49912346754974907,0.40672615934666145,0.5827797503181399
-0.5340707511102649,0.49011200750678413,0.39747355206604396,0.5738437651263991
-0.5235987755982989,0.48106330735321623,0.3882916783065047,0.5647901301714573
-0.5131268000863329,0.47197836752981814,0.37945621806279384,0.5557165080305263
-0.5026548245743669,0.46285817615378805,0.37070020670238246,0.5466276866670475
-0.49218284906240095,0.4537037089184334,0.3619043986786281,0.5371977569476813
-0.48171087355043496,0.4445159290102932,0.3529561635825362,0.5275998179345286
-0.47123889803846897,0.43529578704368305,0.34407010301415497,0.5178939805874961
-0.460766922526503,0.42604422101263245,0.3354426214926087,0.5080815325213174
-0.4502949470145372,0.41676215626016244,0.3268718751152447,0.49818911896995405
-0.4398229715025712,0.4074505054648356,0.3182865865383856,0.4882764264373346
-0.4293509959906052,0.39811016864449617,0.30968255281083656,0.47825462700068555
-0.41887902047863923,0.38874203317709227,0.30113965900278533,0.46812529518146523
-0.40840704496667324,0.3793469738384645,0.29265792716059297,0.45784814741601587
-0.39793506945470725,0.36992585285696106,0.2842372796739793,0.4474573074746503
-0.38746309394274125,0.36047951998472577,0.2758775402790392,0.43696771433115594
-0.37699111843077526,0.35100881258548644,0.267582967019466,0.4263864067406549
-0.36651914291880927,0.3415145557386577,0.25935062761318606,0.415731921003961
-0.3560471674068433,0.3319975623595499,0.251177576545108,0.404982131593773
-0.3455751918948773,0.3224586333354671,0.2430632627265763,0.3941390375279709
-0.3351032163829113,0.312898557677453,0.23500704347811177,0.3832046963086205
-0.3246312408709453,0.3033181126874351,0.22700818611228685,0.37218122283930494
