delta_phi_rad,chi_phi_emp_norm
-1.5707963267948966,6.123233995736766e-17
-1.5603243512829306,0.010471784116245868
-1.5498523757709646,0.02094241988335705
-1.5393804002589986,0.031410759078128396
-1.5289084247470326,0.04187565372919975
-1.5184364492350666,0.052335956242943966
-1.5079644737231006,0.06279051952931353
-1.4974924982111348,0.07323819712763163
-1.4870205226991688,0.08367784333231544
-1.4765485471872029,0.09410831331851428
-1.4660765716752369,0.10452846326765346
-1.4556045961632709,0.11493715049286661
-1.4451326206513049,0.12533323356430426
-1.4346606451393389,0.1357155724343044
-1.424188669627373,0.14608302856241165
-1.413716694115407,0.15643446504023092
-1.403244718603441,0.16676874671610234
-1.392772743091475,0.17708474031958338
-1.382300767579509,0.18738131458572474
-1.371828792067543,0.19765734037912627
-1.361356816555577,0.20791169081775945
-1.350884841043611,0.2181432413965427
-1.3404128655316452,0.2283508701106557
-1.3299408900196792,0.23853345757858083
-1.3194689145077132,0.24868988716485474
-1.3089969389957472,0.25881904510252074
-1.2985249634837812,0.2689198206152657
-1.2880529879718152,0.2789911060392293
-1.2775810124598492,0.2890317969444716
-1.2671090369478832,0.2990407922560867
-1.2566370614359172,0.30901699437494745
-1.2461650859239513,0.31895930929807004
-1.2356931104119853,0.3288666467385833
-1.2252211349000193,0.3387379202452915
-1.2147491593880533,0.3485720473218153
-1.2042771838760875,0.35836794954530016
-1.1938052083641213,0.3681245526846781
-1.1833332328521555,0.37784078681846706
-1.1728612573401895,0.38751558645210293
-1.1623892818282235,0.39714789063478056
-1.1519173063162575,0.4067366430758002
-1.1414453308042916,0.41628079226040116
-1.1309733552923256,0.42577929156507266
-1.1205013797803596,0.4352310993723275
-1.1100294042683936,0.4446351791849275
-1.0995574287564276,0.4539904997395468
-1.0890854532444616,0.4632960351198618
-1.0786134777324956,0.47255076486905406
-1.0681415022205298,0.48175367410171516
-1.0576695267085636,0.49090375361514094
-1.0471975511965979,0.4999999999999999
-1.0367255756846316,0.5090414157503714
-1.0262536001726659,0.5180270093731302
-1.0157816246606997,0.5269557954966777
-1.0053096491487339,0.5358267949789965
-0.9948376736367679,0.5446390350150271
-0.9843656981248019,0.5533915492433441
-0.9738937226128359,0.5620833778521306
-0.9634217471008699,0.5707135676844317
-0.9529497715889039,0.5792811723426788
-0.9424777960769379,0.5877852522924731
-0.932005820564972,0.5962248749656157
-0.9215338450530061,0.6045991148623748
-0.9110618695410401,0.6129070536529765
-0.9005898940290741,0.6211477802783103
-0.8901179185171081,0.6293203910498375
-0.8796459430051421,0.6374239897486897
-0.8691739674931761,0.6454576877239506
-0.8587019919812102,0.6534206039901054
-0.8482300164692442,0.6613118653236518
-0.8377580409572782,0.6691306063588582
-0.8272860654453122,0.6768759696826607
-0.8168140899333463,0.6845471059286886
-0.8063421144213803,0.6921431738704068
-0.7958701389094143,0.6996633405133654
-0.7853981633974484,0.7071067811865475
-0.7749261878854824,0.7144726796328034
-0.7644542123735164,0.7217602280983622
-0.7539822368615504,0.7289686274214116
-0.7435102613495844,0.7360970871197343
-0.7330382858376184,0.7431448254773942
-0.7225663103256524,0.7501110696304596
-0.7120943348136866,0.7569950556517564
-0.7016223593017206,0.7637960286346421
-0.6911503837897546,0.7705132427757891
-0.6806784082777886,0.7771459614569709
-0.6702064327658226,0.7836934573258397
-0.6597344572538566,0.7901550123756903
