delta_omega_rad_s,delta_phi_mean_rad,delta_phi_sem_rad,n_seeds,tau_sim_s,analytic_delta_phi_rad
-0.45,-1.456972674930665,0.0288797350782265,50,3.217171730927471,-1.447727278917362
-0.3,-0.9320789512757066,0.0295940058582883,50,3.217171730927471,-0.9651515192782412
-0.2,-0.6612316561059279,0.0256205276474185,50,3.217171730927471,-0.6434343461854942
-0.0,0.0197825981802578,0.0330586708291809,50,3.217171730927471,-0.0
0.2,0.6227952366349686,0.0265140273269659,50,3.217171730927471,0.6434343461854942
0.3,0.9585028249121028,0.0308570756941519,50,3.217171730927471,0.9651515192782412
0.45,1.4347509853882088,0.0330876100121577,50,3.217171730927471,1.447727278917362
