delta_omega,normalized_smoothed_mean
0.4907874059821673,-1.0
0.48751548994228616,-0.9999451693655121
0.4842435739024051,-0.9997806834748455
0.48097165786252394,-0.9995065603657316
0.4776997418226428,-0.9991228300988584
0.4744278257827617,-0.9986295347545738
0.4711559097428806,-0.9980267284282716
0.46788399370299955,-0.9973144772244581
0.4646120776631184,-0.9964928592495044
0.46134016162323727,-0.99556196460308
0.4580682455833562,-0.9945218953682733
0.45479632954347504,-0.9933727656003964
0.45152441350359396,-0.9921147013144779
0.4482524974637128,-0.9907478404714436
0.4449805814238317,-0.9892723329629883
0.4417086653839506,-0.9876883405951378
0.43843674934406945,-0.9859960370705049
0.4351648333041883,-0.9841956079692419
0.43189291726430723,-0.9822872507286886
0.4286210012244261,-0.9802711746217219
0.42534908518454495,-0.9781476007338056
0.42207716914466387,-0.9759167619387473
0.4188052531047828,-0.9735789028731603
0.4155333370649017,-0.9711342799096361
0.41226142102502056,-0.9685831611286311
0.4089895049851394,-0.9659258262890683
0.40571758894525833,-0.9631625667976582
0.4024456729053772,-0.9602936856769431
0.3991737568654961,-0.9573194975320672
0.39590184082561497,-0.9542403285162768
0.39262992478573383,-0.9510565162951535
0.38935800874585275,-0.9477684100095857
0.3860860927059716,-0.944376370237481
0.38281417666609047,-0.9408807689542255
0.3795422606262094,-0.9372819894918915
0.3762703445863283,-0.9335804264972017
0.3729984285464471,-0.9297764858882513
0.3697265125065661,-0.9258705848099947
0.36645459646668493,-0.9218631515885005
0.36318268042680385,-0.9177546256839811
0.3599107643869227,-0.9135454576426009
0.35663884834704157,-0.9092361090470685
0.3533669323071605,-0.9048270524660196
0.35009501626727935,-0.9003187714021935
0.3468231002273982,-0.8957117602394129
0.3435511841875171,-0.8910065241883678
0.340279268147636,-0.8862035792312147
0.3370073521077549,-0.8813034520649922
0.3337354360678738,-0.8763066800438637
0.3304635200279926,-0.8712138111201894
0.3271916039881116,-0.8660254037844387
0.3239196879482304,-0.8607420270039435
0.32064777190834937,-0.8553642601605067
0.31737585586846817,-0.8498926929868639
0.3141039398285871,-0.8443279255020151
0.310832023788706,-0.838670567945424
0.30756010774882486,-0.8329212407100995
0.3042881917089437,-0.8270805742745618
0.30101627566906264,-0.821149209133704
0.2977443596291815,-0.8151277957285542
0.29447244358930036,-0.8090169943749475
0.2912005275494193,-0.8028174751911146
0.2879286115095382,-0.7965299180241963
0.28465669546965705,-0.7901550123756904
0.2813847794297759,-0.7836934573258398
0.2781128633898948,-0.7771459614569709
0.2748409473500137,-0.7705132427757893
0.2715690313101326,-0.7637960286346421
0.2682971152702515,-0.7569950556517565
0.2650251992303704,-0.7501110696304596
0.26175328319048924,-0.7431448254773942
0.25848136715060815,-0.7360970871197343
0.255209451110727,-0.7289686274214116
0.2519375350708459,-0.7217602280983622
0.24866561903096476,-0.7144726796328034
0.24539370299108368,-0.7071067811865476
0.24212178695120257,-0.6996633405133654
0.23884987091132145,-0.6921431738704068
0.23557795487144031,-0.6845471059286887
0.2323060388315592,-0.6768759696826607
0.2290341227916781,-0.6691306063588582
0.22576220675179698,-0.6613118653236518
0.2224902907119159,-0.6534206039901055
0.21921837467203475,-0.6454576877239506
0.21594645863215364,-0.6374239897486897
0.21267454259227253,-0.6293203910498375
0.2094026265523914,-0.6211477802783104
0.20613071051251028,-0.6129070536529765
0.20285879447262917,-0.6045991148623748
0.19958687843274808,-0.5962248749656159
0.19631496239286694,-0.5877852522924732
0.19304304635298583,-0.5792811723426788
0.18977113031310472,-0.5707135676844317
0.1864992142732236,-0.5620833778521306
0.18322729823334247,-0.5533915492433441
0.17995538219346136,-0.5446390350150271
0.17668346615358027,-0.5358267949789968
0.17341155011369916,-0.5269557954966776
