trial,time_s,center_m
aligned_1,0.0,-0.0
aligned_1,0.2,-0.0003952309489250183
aligned_1,0.4,-0.0018340609967708588
aligned_1,0.6000000000000001,-0.0026666447520256042
aligned_1,0.8,-0.00047434866428375244
aligned_1,1.0,0.004319436848163605
aligned_1,1.2000000000000002,0.014481499791145325
aligned_1,1.4000000000000001,0.027666393667459488
aligned_1,1.6,0.042880766093730927
aligned_1,1.8,0.05160995572805405
aligned_1,2.0,0.057264260947704315
aligned_1,2.2,0.055163197219371796
aligned_1,2.4000000000000004,0.05256650969386106
aligned_1,2.6,0.047012537717819214
aligned_1,2.8000000000000003,0.03008557483553892
aligned_1,3.0,0.017752256244421005
aligned_1,3.2,0.017158322036266327
aligned_1,3.4000000000000004,0.021413438022136688
aligned_1,3.6,0.02564221620559698
aligned_1,3.8000000000000003,0.0362002737820149
aligned_1,4.0,0.03846314549446106
aligned_1,4.2,0.033696047961711884
aligned_1,4.4,0.024943213909864426
aligned_1,4.6000000000000005,0.017204653471708298
aligned_1,4.800000000000001,0.01449807733297348
aligned_1,5.0,0.014172855764627457
aligned_1,5.2,0.014122974127531052
aligned_1,5.4,0.014230974018573761
aligned_1,5.6000000000000005,0.014452788978815134
aligned_1,5.800000000000001,0.015142317861318644
aligned_1,6.0,0.015877485275268555
aligned_1,6.2,0.01424076035618782
aligned_1,6.4,0.012439984828233719
aligned_1,6.6000000000000005,0.013007942587137222
aligned_1,6.800000000000001,0.0160997211933136
aligned_1,7.0,0.02604309469461441
aligned_1,7.2,0.037761837244033813
aligned_1,7.4,0.05428498238325119
aligned_1,7.6000000000000005,0.07034477218985558
aligned_1,7.800000000000001,0.07871823385357857
aligned_1,8.0,0.07969408109784132
aligned_1,8.200000000000001,0.07619626447558403
aligned_1,8.4,0.07146969065070152
aligned_1,8.6,0.05504573881626135
aligned_1,8.8,0.04400986433029175
aligned_1,9.0,0.03947101905941969
aligned_1,9.200000000000001,0.04279565066099167
aligned_1,9.4,0.046369705349206924
aligned_1,9.600000000000001,0.05374220758676529
aligned_1,9.8,0.05913213640451431
aligned_1,10.0,0.05681431666016579
aligned_1,10.200000000000001,0.04956726357340813
aligned_1,10.4,0.041328828781843185
aligned_1,10.600000000000001,0.03662997484207159
aligned_1,10.8,0.036190662533044815
aligned_1,11.0,0.04129673168063169
aligned_1,11.200000000000001,0.04671911895275116
aligned_1,11.4,0.050509415566921234
aligned_1,11.600000000000001,0.05501687899231911
aligned_1,11.8,0.05744064226746565
