time_s,left_phase_mean,right_phase_mean,left_force_mean_N,left_force_sem_N,right_force_mean_N,right_force_sem_N,center_mean_m,center_sem_m
0.0,0.0,0.0,0.0,0.0,0.03687833250903835,0.03687833250903835,0.0,0.0
0.2,0.6735916376031188,0.396335216800699,0.0,0.0,0.0,0.0,-0.0005234018899500278,0.00038174725014178976
0.4,1.2986613417208985,0.612996446363798,0.0,0.0,0.0,0.0,-0.0014338021477063312,0.0011767075618465948
0.6000000000000001,1.9742456011559542,0.8300266351036925,0.0,0.0,0.0,0.0,-0.0019578863866627216,0.0021742109747773437
0.8,2.6116056661621254,1.042340417349414,0.0,0.0,0.0,0.0,0.00036523087571064633,0.0025515775311627698
1.0,-3.0719150116364573,1.2508634625280144,-3.032336258709494,1.2259021320920387,0.0,0.0,0.005274525533119838,0.0026644727615094963
1.2000000000000002,-2.434111304853266,1.4718832688786165,-10.01572460392398,4.251550902651482,0.0,0.0,0.015024535202731707,0.0030410510931825796
1.4000000000000001,-1.7839800811096531,1.6762388386490739,-14.91428984583194,6.566469285098345,0.0,0.0,0.02767929496864478,0.005395616541729022
1.6,-1.1458654752288808,1.8927876860282116,-9.215570276568014,4.1180519560718585,0.0,0.0,0.04036653072883686,0.007148183996820454
1.8,-0.496023027610991,2.1052146334388038,-2.2909108251084747,0.8341614892958654,0.0,0.0,0.05049170274287463,0.008283581634569558
2.0,0.11713630370601744,2.309789955144781,0.0,0.0,0.0,0.0,0.05803594924509525,0.008846783469399757
2.2,0.7794970924873937,2.518194542011461,0.0,0.0,0.0,0.0,0.056859748748441546,0.008837896100316033
2.4000000000000004,1.392222798087242,2.734732486709567,0.0,0.0,0.0,0.0,0.05386272228012484,0.00822580224151798
2.6,2.029293331300318,2.9473096933331813,0.0,0.0,17.13194357576786,6.122452424917758,0.049732499135037266,0.007804489385226179
2.8000000000000003,2.6668651252155273,-3.1231793203667335,0.0,0.0,8.106191448619485,4.5729497284636444,0.038408988310645036,0.0102348079581989
3.0,-3.0042159710262406,-2.8941104625352256,-7.802197623976227,2.0499849358094444,5.3828882871242145,3.6539380983872185,0.031597074742118515,0.012450326521147036
3.2,-2.354271494980355,-2.6939433646241358,-7.791893621553185,3.606522269956572,3.114975806710836,1.886467527724723,0.03330078810298195,0.013208367203050403
3.4000000000000004,-1.703270227282254,-2.493698696773071,-9.615959050167474,3.0642588736758105,0.2225201111326713,0.08969854742934419,0.03946361310469608,0.014676991146535428
3.6,-1.05377822186205,-2.2690183238375945,-15.085578624137213,7.822929436072423,0.12126095772728158,0.08726648138822163,0.04512584826443347,0.015970157760092862
3.8000000000000003,-0.42810706867246306,-2.047979601183302,-13.073312522522698,3.256259874916659,0.425038414799953,0.36230379414922576,0.048834750972067326,0.015337963949073994
4.0,0.27123809792582165,-1.8311195025928657,0.0,0.0,3.4291215936022525,3.408909868162873,0.04850858279193441,0.015230639737244287
4.2,0.9197079223688301,-1.6017282055260011,0.0,0.0,0.7949988099576504,0.5575029832544327,0.04293244956837347,0.015150454243371067
4.4,1.5697180087303935,-1.3851378277119413,0.0,0.0,2.2745524962315353,2.1937633018849705,0.03496698926513397,0.015077339043874987
4.6000000000000005,2.1958775060261053,-1.1683075171527113,0.0,0.0,1.3478672293438703,1.3075204162054623,0.027885398788688096,0.015277397233928949
4.800000000000001,2.857757332709793,-0.9640356764245026,-0.37128355724726597,0.37128355724726597,5.162636279151442,4.721160257162188,0.024624765074501436,0.015345083604915495
5.0,-2.8118244497571037,-0.7560560630807253,-8.849198832143973,5.847942396481642,3.221352479311364,2.9468684107646905,0.025149672719029098,0.014189207767772232
5.2,-2.1733124209115107,-0.5434650357725251,-1.59197930120568,0.5927012504981115,8.805104519928006,5.874164989942652,0.028272333011652034,0.015101890357499275
5.4,-1.536675943530763,-0.3311417141123514,-2.7474655553588483,1.7026183763218092,3.174676127708059,2.911822161201189,0.029200283849301446,0.01490716770545847
5.6000000000000005,-0.8773504625134234,-0.10989291903292074,-5.170255092681921,2.9561997412148635,0.0,0.0,0.03012006116720539,0.014704469119744327
5.800000000000001,-0.18351927378724975,0.11102230071273231,-2.441593978332574,2.1340014845769573,0.0,0.0,0.03197153420963636,0.014633578247837092
6.0,0.4264191973892098,0.32854051104673715,0.0,0.0,0.0,0.0,0.03280302044004205,0.014356560496296772
6.2,1.0780235993768539,0.540844697313733,0.0,0.0,0.0,0.0,0.0325645600872425,0.014509955102584446
6.4,1.6915628307604957,0.7612657011503802,0.0,0.0,0.0,0.0,0.03183104726485909,0.014770586946514055
6.6000000000000005,2.340527692082201,0.9693056022746344,-3.035204300087298,3.0352043000872984,0.0,0.0,0.03263554970423382,0.015194842141900053
6.800000000000001,2.988791158490011,1.177709306074064,-4.804890207581696,3.6621073468731336,0.0,0.0,0.038050987447301544,0.016643943503889654
7.0,-2.6717828780444326,1.3858269971613386,-2.4505418058922976,1.4051547995968006,0.0,0.0,0.048947453033179066,0.018373926193892845
7.2,-2.0285433594171476,1.610995719872198,-4.143567593121161,1.1028658875712847,0.0,0.0,0.06127165847768387,0.019469625216306567
7.4,-1.380354921775229,1.8191313450311515,-9.033945010754087,3.025362179888276,0.0,0.0,0.07612314308062196,0.021250693468530795
7.6000000000000005,-0.7132435271835676,2.0436760151646913,-8.03168313323422,4.322330469514384,0.0,0.0,0.0895999491525193,0.021301053087312588
7.800000000000001,-0.07319430814648273,2.2723037784836793,-1.8271903508360605,1.5316223782371368,0.0,0.0,0.1002362755437692,0.01907808330239222
