time,cargo x,cargo y,cargo z,cargo alpha,cargo beta,cargo gamma,phi1,phi2,phi3,phi4,current1,current2,current3,current4,r1 x,r1 y,r1 z,r2 x,r2 y,r2 z,r3 x,r3 y,r3 z,r4 x,r4 y,r4 z
4,-0.042498395,-0.12945734,0.074232697,-0.000231431,-0.000163025,-0.012544773,3.295449777,0.189782903,1.130590076,2.727219225,0.546986157,0.494335018,0.600670809,0.473508688,0.868955255,0.618242323,0.823581398,-0.84859854,-0.925211489,0.726079822,-0.910362542,-0.812777042,0.768185496,-0.785543859,2.387909174,-2.35345149
5,-0.043813895,-0.129355729,0.074264452,-0.000180221,-0.000542505,-0.013000019,3.341378404,0.249782903,1.183504619,2.787219225,0.547935005,0.495458845,0.602452412,0.474533765,0.868916333,0.61820668,0.823588371,-0.848608613,-0.927326679,0.727989793,-0.911822498,-0.814272702,0.768183291,-0.78553462,2.389479399,-2.353319645
6,-0.046091907,-0.128650218,0.074578978,-8.47E-05,-4.35E-06,-0.014197885,3.38796626,0.309782903,1.237057483,2.847219225,0.549137701,0.497594561,0.604485117,0.475692438,0.868872702,0.618167162,0.823605657,-0.848629415,-0.930373132,0.73074913,-0.913466811,-0.815975368,0.768181086,-0.785517633,2.391332626,-2.353063583
7,-0.047465626,-0.128312662,0.074232064,-0.000126567,-0.000423138,-0.014756305,3.435227345,0.369782903,1.291343947,2.907219225,0.549901122,0.498890498,0.607483436,0.476544192,0.868824065,0.618122339,0.823630095,-0.848658621,-0.933682323,0.733658195,-0.914748013,-0.817326605,0.768178642,-0.785490274,2.393210649,-2.352754593
8,-0.049295645,-0.127514824,0.074367158,-0.000299479,-0.000238255,-0.015687207,3.483147536,0.429782903,1.346458932,2.967219225,0.550686261,0.500841457,0.609414454,0.477087077,0.868771315,0.618074834,0.823663235,-0.848697305,-0.936566353,0.73622632,-0.915689588,-0.818307877,0.768176079,-0.785450399,2.394528389,-2.352859735
9,-0.050487809,-0.127013713,0.074083075,-0.00036031,-0.000465427,-0.01631156,3.531689121,0.489782903,1.402545484,3.009247321,0.551182686,0.50211302,0.612654692,0.477441862,0.868715525,0.618023753,0.823704123,-0.84874469,-0.9400177,0.739308834,-0.916410446,-0.819062889,0.768173456,-0.785395682,2.394740582,-2.352859259
10,-0.051871054,-0.126188353,0.074099801,-0.000538104,-0.000419091,-0.017167069,3.580787027,0.549782903,1.459727443,3.049247321,0.551612048,0.503771735,0.614068765,0.477464017,0.868657112,0.617970645,0.823752761,-0.848801136,-0.942406893,0.741292596,-0.916751742,-0.819419086,0.768170595,-0.785324514,2.394074202,-2.35279417
11,-0.053015005,-0.125416845,0.074029163,-0.000683885,-0.000404796,-0.018034704,3.630351938,0.609782903,1.518183757,3.089247321,0.551890724,0.50521281,0.615961049,0.477561938,0.868596733,0.617915928,0.823809087,-0.848866343,-0.944953442,0.743535101,-0.917053759,-0.819734156,0.768167734,-0.785234451,2.393733263,-2.352308035
12,-0.053980555,-0.124696329,0.073916063,-0.000644344,-0.000381105,-0.018824397,3.680273235,0.669782903,1.578092709,3.129247321,0.552080751,0.506463308,0.616992736,0.477320275,0.868535161,0.617860019,0.823872447,-0.848940611,-0.946816623,0.744985282,-0.917052984,-0.819746733,0.768164814,-0.785121441,2.39420557,-2.352189779
13,-0.054814201,-0.12396808,0.073855884,-0.000637818,-0.00033128,-0.019558528,3.730424552,0.729782903,1.638092709,3.169247321,0.552165614,0.50764065,0.61838665,0.477105491,0.868472695,0.617803514,0.823946238,-0.84902364,-0.948873043,0.746616125,-0.916990042,-0.81968987,0.768161893,-0.78499037,2.394900799,-2.352172136
14,-0.055631883,-0.123164892,0.073846333,-0.000680593,-0.000283107,-0.02033825,3.780670764,0.789782903,1.698092709,3.209247321,0.552194998,0.508882902,0.620173537,0.476954098,0.868409812,0.617746711,0.824028492,-0.849121034,-0.951331079,0.748495221,-0.916914046,-0.819619,0.768158972,-0.784851134,2.396044731,-2.352170467
15,-0.056408718,-0.122352652,0.073810466,-0.000656361,-0.000265961,-0.021099143,3.830875995,0.849782903,1.758092709,3.249247321,0.55219765,0.51009543,0.622027465,0.476820464,0.868347108,0.61768955,0.8241117,-0.8492257,-0.953840256,0.750392735,-0.916835785,-0.819545567,0.768155754,-0.784701586,2.397510052,-2.352171898
16,-0.057359595,-0.12127272,0.073896639,-0.000857056,-0.000188778,-0.022162132,3.880911748,0.909782903,1.818092709,3.289247321,0.552153511,0.511698508,0.623409699,0.476817146,0.868283689,0.617633045,0.824227929,-0.84936142,-0.956194699,0.752220631,-0.916757703,-0.819471896,0.768152833,-0.784592807,2.398802042,-2.352173567
17,-0.058071017,-0.120471075,0.073749758,-0.000623041,-0.00025249,-0.022856073,3.930664404,0.969782903,1.878092709,3.329247321,0.552135523,0.513138363,0.625181956,0.476669758,0.868220985,0.617576301,0.824541986,-0.849687636,-0.958609521,0.754006803,-0.916679442,-0.819398582,0.768149912,-0.783937097,2.399403572,-2.352174997
