q_left,q_right,mean,std,n,sem
0.1,0.1,-0.2541134303058078,0.9717482074116033,10,0.3072937647606382
0.1,0.1833333333333333,-0.40222826260185646,0.9623037104835382,10,0.3043071525959233
0.1833333333333333,0.1833333333333333,-0.10654186242492829,0.9212032591560958,10,0.29131004869036237
0.1,0.2666666666666666,-0.40721770792164114,0.954293904106464,10,0.30177422941907367
0.1833333333333333,0.2666666666666666,-0.06522876408884737,0.9008060279987148,10,0.2848598778485347
0.2666666666666666,0.2666666666666666,-0.05818906245661461,0.7999397341178767,10,0.25296315506819944
0.1,0.35,-0.39987443019361185,0.9502987834994658,10,0.3005108613545548
0.1833333333333333,0.35,-0.07655491014993075,0.9489580157088817,10,0.30008687335139106
0.2666666666666666,0.35,-0.12861093199027115,0.9276201889686647,10,0.29333926006967787
0.35,0.35,0.0025299934427256976,0.8377547649624975,10,0.2649213177940517
0.1,0.4333333333333333,-0.39550832751895204,0.9592324280376137,10,0.3033359278092418
0.1833333333333333,0.4333333333333333,-0.18515696853511474,1.0012257123970214,10,0.31661537030992715
0.2666666666666666,0.4333333333333333,-0.2527576084625557,0.8399001472669598,10,0.2655997472474439
0.35,0.4333333333333333,-0.5485438646818616,0.510797759377625,10,0.16152843433439265
0.4333333333333333,0.4333333333333333,-0.40787045477543826,0.6498621292167903,10,0.20550444934117126
0.1,0.5166666666666666,-0.39262298646305577,0.95189220848727,10,0.3010147465787635
0.1833333333333333,0.5166666666666666,-0.07045957086494324,0.9807437646830778,10,0.3101384097406731
0.2666666666666666,0.5166666666666666,-0.08437888978793226,0.848482482879896,10,0.26831372006552945
0.35,0.5166666666666666,-0.44897245851815065,0.5731821266333031,10,0.18125610342602974
0.4333333333333333,0.5166666666666666,-0.23456732427421315,0.8317015355410328,10,0.2630071185769145
0.5166666666666666,0.5166666666666666,-0.08168141882172428,0.8166184100156612,10,0.2582374154874747
0.1,0.6,-0.4519729231706668,0.8697079951897542,10,0.2750258164058388
0.1833333333333333,0.6,-0.2763377484443329,0.8946256836939818,10,0.2829054813758341
0.2666666666666666,0.6,-0.33466424889130847,0.8694400747832144,10,0.2749410925342084
0.35,0.6,-0.44447223275660763,0.6953085512810072,10,0.2198758698639969
0.4333333333333333,0.6,-0.33624991105287283,0.7517522315274219,10,0.23772492877408932
0.5166666666666666,0.6,-0.30716574949935616,0.6965807588610187,10,0.2202781772249336
0.6,0.6,-0.24649199082479706,0.7365633624081985,10,0.2329217866241952
0.1,0.6833333333333332,-0.4267824406034853,0.8451789537311531,10,0.267269052422851
0.1833333333333333,0.6833333333333332,-0.23711434407547927,0.9189535759862747,10,0.29059863640732414
0.2666666666666666,0.6833333333333332,-0.3194760498271266,0.8030988259285209,10,0.25396214761412156
0.35,0.6833333333333332,-0.1312846960396453,0.6880103144197535,10,0.21756796472550088
0.4333333333333333,0.6833333333333332,-0.34173902765103026,0.6953565686733095,10,0.21989105429669462
0.5166666666666666,0.6833333333333332,-0.20212874115895246,0.6716126332746927,10,0.21238256264914188
0.6,0.6833333333333332,-0.09010121993075096,0.6798813338160453,10,0.21499735534919606
0.6833333333333332,0.6833333333333332,-0.02697553638146084,0.627251341740454,10,0.19835429052964795
0.1,0.7666666666666666,-0.34664623688031027,0.9079469250961935,10,0.28711802778502654
0.1833333333333333,0.7666666666666666,-0.11253660122980833,0.9706888784538756,10,0.306958775530859
