q_left,q_right,sym_mean,sym_sem,n
0.1,0.1,0.0,0.0,10
0.18333333333333335,0.1,0.40222826260185646,0.3043071525959233,10
0.26666666666666666,0.1,0.40721770792164114,0.30177422941907367,10
0.35,0.1,0.39987443019361185,0.3005108613545548,10
0.43333333333333335,0.1,0.39550832751895204,0.3033359278092418,10
0.5166666666666666,0.1,0.39262298646305577,0.3010147465787635,10
0.6,0.1,0.4519729231706668,0.2750258164058388,10
0.6833333333333332,0.1,0.4267824406034853,0.267269052422851,10
0.7666666666666666,0.1,0.34664623688031027,0.28711802778502654,10
0.85,0.1,0.3924816224579411,0.275469242134328,10
0.9333333333333332,0.1,0.3272152368877957,0.29194423524570035,10
1.0166666666666666,0.1,0.32170463368851476,0.29477710661068474,10
1.1,0.1,0.28470520829033064,0.2972530070146279,10
0.1,0.18333333333333335,-0.40222826260185646,0.3043071525959233,10
0.18333333333333335,0.18333333333333335,0.0,0.0,10
0.26666666666666666,0.18333333333333335,0.06522876408884737,0.2848598778485347,10
0.35,0.18333333333333335,0.07655491014993075,0.30008687335139106,10
0.43333333333333335,0.18333333333333335,0.18515696853511474,0.31661537030992715,10
0.5166666666666666,0.18333333333333335,0.07045957086494324,0.3101384097406731,10
0.6,0.18333333333333335,0.2763377484443329,0.2829054813758341,10
0.6833333333333332,0.18333333333333335,0.23711434407547927,0.29059863640732414,10
0.7666666666666666,0.18333333333333335,0.11253660122980833,0.306958775530859,10
0.85,0.18333333333333335,0.19389956168702502,0.3008742439969885,10
0.9333333333333332,0.18333333333333335,0.16746952151315747,0.31401523045453406,10
1.0166666666666666,0.18333333333333335,0.11982303677757625,0.3057553992629715,10
1.1,0.18333333333333335,0.14098086413400665,0.30818452027718585,10
0.1,0.26666666666666666,-0.40721770792164114,0.30177422941907367,10
0.18333333333333335,0.26666666666666666,-0.06522876408884737,0.2848598778485347,10
0.26666666666666666,0.26666666666666666,0.0,0.0,10
0.35,0.26666666666666666,0.12861093199027115,0.29333926006967787,10
0.43333333333333335,0.26666666666666666,0.2527576084625557,0.2655997472474439,10
0.5166666666666666,0.26666666666666666,0.08437888978793226,0.26831372006552945,10
0.6,0.26666666666666666,0.33466424889130847,0.2749410925342084,10
0.6833333333333332,0.26666666666666666,0.3194760498271266,0.25396214761412156,10
0.7666666666666666,0.26666666666666666,0.09266944053327528,0.26147492243265535,10
0.85,0.26666666666666666,0.2874063712673429,0.25520515770237084,10
0.9333333333333332,0.26666666666666666,0.13499395691224203,0.2622187622906818,10
1.0166666666666666,0.26666666666666666,0.07522531429900943,0.268795365045558,10
1.1,0.26666666666666666,0.11869769945248802,0.2630186688132677,10
0.1,0.35,-0.39987443019361185,0.3005108613545548,10
