region_key,region_order,marker,q_left,q_right,effective_phase_lag_rad,phase_rad,left_force_normalized,right_force_normalized
left_dominant,1,s,0.35,0.85,1.6002818202429294,0.0,5.456824009797054e-07,0.6637541949843208
left_dominant,1,s,0.35,0.85,1.6002818202429294,0.01308996938995747,5.12538590482181e-07,0.6726630314825676
left_dominant,1,s,0.35,0.85,1.6002818202429294,0.02617993877991494,4.814123216970274e-07,0.681495287788819
left_dominant,1,s,0.35,0.85,1.6002818202429294,0.039269908169872414,4.521712960851355e-07,0.6902486510611692
left_dominant,1,s,0.35,0.85,1.6002818202429294,0.05235987755982988,4.2471182408972413e-07,0.6989205378958473
left_dominant,1,s,0.35,0.85,1.6002818202429294,0.06544984694978735,3.98915226476803e-07,0.7075085733694764
left_dominant,1,s,0.35,0.85,1.6002818202429294,0.07853981633974483,3.746893924161474e-07,0.7160103990461393
left_dominant,1,s,0.35,0.85,1.6002818202429294,0.09162978572970229,3.519316991092499e-07,0.724423559303067
left_dominant,1,s,0.35,0.85,1.6002818202429294,0.10471975511965977,3.3055850852424204e-07,0.7327459372362447
left_dominant,1,s,0.35,0.85,1.6002818202429294,0.11780972450961724,3.104817343260207e-07,0.7409749788107358
left_dominant,1,s,0.35,0.85,1.6002818202429294,0.1308996938995747,2.9162528608335357e-07,0.7491088244626521
left_dominant,1,s,0.35,0.85,1.6002818202429294,0.14398966328953217,2.7391361614565757e-07,0.7571448049205488
left_dominant,1,s,0.35,0.85,1.6002818202429294,0.15707963267948966,2.57277561882008e-07,0.7650813179385487
left_dominant,1,s,0.35,0.85,1.6002818202429294,0.17016960206944712,2.416523838591747e-07,0.7729156082950537
left_dominant,1,s,0.35,0.85,1.6002818202429294,0.18325957145940458,2.2697526951248021e-07,0.7806462175489465
left_dominant,1,s,0.35,0.85,1.6002818202429294,0.19634954084936207,2.1319079124141445e-07,0.788270552271979
left_dominant,1,s,0.35,0.85,1.6002818202429294,0.20943951023931953,2.002419492463123e-07,0.7957870563809379
left_dominant,1,s,0.35,0.85,1.6002818202429294,0.222529479629277,1.880813337276096e-07,0.8031933883488113
left_dominant,1,s,0.35,0.85,1.6002818202429294,0.23561944901923448,1.7665725740822297e-07,0.8104878786463221
left_dominant,1,s,0.35,0.85,1.6002818202429294,0.24870941840919195,1.6592921039244646e-07,0.8176684520716139
left_dominant,1,s,0.35,0.85,1.6002818202429294,0.2617993877991494,1.5585082600921467e-07,0.8247333106878323
left_dominant,1,s,0.35,0.85,1.6002818202429294,0.2748893571891069,1.4638611766659608e-07,0.8316806592902866
left_dominant,1,s,0.35,0.85,1.6002818202429294,0.28797932657906433,1.3749499223012924e-07,0.8385085574042122
left_dominant,1,s,0.35,0.85,1.6002818202429294,0.3010692959690218,1.2914477340732073e-07,0.8452155027443
left_dominant,1,s,0.35,0.85,1.6002818202429294,0.3141592653589793,1.2130104730101544e-07,0.8517993989883914
left_dominant,1,s,0.35,0.85,1.6002818202429294,0.32724923474893675,1.1393408594100356e-07,0.8582590489446167
left_dominant,1,s,0.35,0.85,1.6002818202429294,0.34033920413889424,1.0701437402682671e-07,0.8645921879453111
left_dominant,1,s,0.35,0.85,1.6002818202429294,0.3534291735288517,1.005148908515277e-07,0.8707979161722139
left_dominant,1,s,0.35,0.85,1.6002818202429294,0.36651914291880916,9.441034323425016e-08,0.8768738463575536
left_dominant,1,s,0.35,0.85,1.6002818202429294,0.37960911230876665,8.867619172456956e-08,0.8828192267575747
left_dominant,1,s,0.35,0.85,1.6002818202429294,0.39269908169872414,8.329078094830078e-08,0.8886318633684711
left_dominant,1,s,0.35,0.85,1.6002818202429294,0.4057890510886816,7.823184214482485e-08,0.8943108495388187
left_dominant,1,s,0.35,0.85,1.6002818202429294,0.41887902047863906,7.348085282707139e-08,0.8998542928539738
